ambiguity,strategy,resolution,unsafe,probe_cost,utility,post_error,info_gain,model_elim,task_success,gate_precision,gate_recall,abort_rate,false_abstain,reversibility,signature_match,value_info,policy_cost,recovery,weight
a00,s00,0.424880,0.269334,0.162600,0.032862,0.626887,0.498880,0.290499,0.185201,0.540517,0.461523,0.063000,0.022027,0.773412,0.655300,0.241745,0.070000,0.164983,1509949440
a00,s01,0.592758,0.160596,0.260800,0.392009,0.524158,0.569485,0.404841,0.378703,0.642533,0.582742,0.067250,0.023662,0.768784,0.655300,0.355113,0.110000,0.309725,1509949440
a00,s02,0.491983,0.182642,0.150000,0.266924,0.575018,0.524893,0.336511,0.286352,0.563150,0.502400,0.093000,0.032739,0.786083,0.655300,0.332292,0.090000,0.242939,1509949440
a00,s03,0.453039,0.207888,1.047008,-0.151775,0.598854,0.506203,0.309918,0.239727,0.515450,0.462500,0.120750,0.042530,0.621592,0.655300,-0.028223,0.130000,0.209352,1509949440
a00,s04,0.684322,0.069904,0.942400,0.415639,0.460281,0.608418,0.467750,0.503004,0.788424,0.658360,0.065500,0.022803,0.656980,0.655300,0.215242,0.180000,0.403265,1509949440
a00,s05,0.652487,0.098194,0.586439,0.478165,0.481679,0.592868,0.445956,0.460179,0.735960,0.631107,0.091447,0.032233,0.717658,0.655300,0.335262,0.210000,0.372250,1509949440
a00,s06,0.637035,0.059059,0.617681,0.488675,0.478849,0.579970,0.435351,0.466575,0.821598,0.583643,0.170870,0.060610,0.716730,0.655300,0.314352,0.230000,0.381780,1509949440
a00,s07,0.000000,0.000000,0.000000,0.000000,0.681000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.357058,1.000000,0.000000,-0.014282,0.030000,0.000000,1509949440
a00,s08,0.933561,0.023265,0.591100,0.931784,0.336464,0.716040,0.637141,0.724702,0.916700,0.891171,0.036000,0.012620,0.725810,0.655300,0.484638,0.220000,0.564774,1509949440
a01,s00,0.373394,0.404694,0.162600,-0.267753,0.717496,0.472017,0.252739,0.065476,0.540517,0.437163,0.063000,0.027966,0.757169,0.634300,0.117424,0.070000,0.070712,1509949440
a01,s01,0.582179,0.270556,0.277600,0.178876,0.590008,0.559645,0.393474,0.300283,0.642533,0.555694,0.067250,0.030001,0.752565,0.634300,0.260082,0.110000,0.246611,1509949440
a01,s02,0.446376,0.279902,0.150000,0.038631,0.653456,0.500422,0.302238,0.188384,0.563150,0.485600,0.093000,0.041506,0.774412,0.634300,0.237793,0.090000,0.166079,1509949440
a01,s03,0.589528,0.331847,1.465654,-0.356024,0.602024,0.555766,0.398740,0.264521,0.515450,0.503000,0.155150,0.069439,0.531361,0.634300,-0.220678,0.130000,0.222233,1509949440
a01,s04,0.745147,0.151043,1.397450,0.180285,0.486795,0.626142,0.503887,0.494906,0.786744,0.676350,0.095600,0.042562,0.565334,0.634300,0.009081,0.180000,0.393609,1509949440
a01,s05,0.695016,0.178319,0.871321,0.304705,0.516173,0.603557,0.470072,0.439018,0.741656,0.638416,0.113833,0.051010,0.656764,0.634300,0.206206,0.210000,0.352803,1509949440
a01,s06,0.671860,0.111805,0.879665,0.351013,0.509964,0.587692,0.454320,0.455823,0.821223,0.585389,0.189868,0.085314,0.663244,0.634300,0.197996,0.230000,0.370741,1509949440
a01,s07,0.000000,0.000000,0.000000,0.000000,0.748200,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.451326,1.000000,0.000000,-0.018053,0.030000,0.000000,1509949440
a01,s08,0.930896,0.042598,0.777100,0.824325,0.376096,0.708065,0.628681,0.705089,0.916700,0.889701,0.048900,0.021836,0.690010,0.634300,0.395062,0.220000,0.548242,1509949440
a02,s00,0.385763,0.374654,0.162600,-0.200447,0.696420,0.478448,0.261738,0.090216,0.540517,0.442963,0.063000,0.026832,0.760774,0.639300,0.145483,0.070000,0.090749,1509949440
a02,s01,0.584809,0.246116,0.273600,0.226711,0.574715,0.562032,0.396241,0.318013,0.642533,0.562134,0.067250,0.028791,0.756218,0.639300,0.281500,0.110000,0.260891,1509949440
a02,s02,0.457345,0.258262,0.150000,0.090460,0.635110,0.506284,0.310414,0.210900,0.563150,0.489600,0.093000,0.039832,0.777009,0.639300,0.259237,0.090000,0.183736,1509949440
a02,s03,0.563217,0.307207,1.380876,-0.313802,0.599704,0.546462,0.381952,0.260410,0.515450,0.495000,0.148750,0.063873,0.549577,0.639300,-0.181350,0.130000,0.220370,1509949440
a02,s04,0.733596,0.134803,1.305300,0.228593,0.479933,0.623047,0.497344,0.497186,0.787144,0.672710,0.090000,0.038415,0.583870,0.639300,0.051147,0.180000,0.396121,1509949440
a02,s05,0.686595,0.161734,0.811040,0.341834,0.507816,0.601667,0.465541,0.443846,0.740611,0.636952,0.109429,0.047043,0.669605,0.639300,0.233877,0.210000,0.357230,1509949440
a02,s06,0.665386,0.100738,0.825883,0.380720,0.502111,0.586552,0.451079,0.458848,0.821302,0.585331,0.186304,0.080348,0.674253,0.639300,0.222567,0.230000,0.373695,1509949440
a02,s07,0.000000,0.000000,0.000000,0.000000,0.732200,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.433326,1.000000,0.000000,-0.017333,0.030000,0.000000,1509949440
a02,s08,0.931570,0.038980,0.741100,0.845194,0.366888,0.709926,0.630718,0.709168,0.916700,0.890051,0.046500,0.019916,0.696924,0.639300,0.412620,0.220000,0.551742,1509949440
a03,s00,0.361292,0.440614,0.162600,-0.343781,0.739922,0.465707,0.243963,0.042812,0.540517,0.431363,0.063000,0.028084,0.752858,0.629300,0.085251,0.070000,0.050544,1509949440
a03,s01,0.579818,0.299676,0.281600,0.123256,0.606351,0.557373,0.390895,0.280000,0.642533,0.549254,0.067250,0.030127,0.748351,0.629300,0.235410,0.110000,0.230306,1509949440
a03,s02,0.435674,0.305622,0.150000,-0.019920,0.672702,0.494679,0.294280,0.163668,0.563150,0.481600,0.093000,0.041681,0.771325,0.629300,0.213532,0.090000,0.146676,1509949440
a03,s03,0.598506,0.369567,1.520366,-0.432145,0.615414,0.557370,0.403778,0.247245,0.515450,0.500000,0.166350,0.074806,0.516986,0.629300,-0.266733,0.130000,0.208290,1509949440
a03,s04,0.746735,0.175563,1.456920,0.116514,0.500210,0.624698,0.503689,0.479797,0.786344,0.672010,0.105400,0.047183,0.551687,0.629300,-0.032111,0.180000,0.381659,1509949440
a03,s05,0.695636,0.202372,0.907516,0.251764,0.529907,0.601959,0.469312,0.423615,0.741624,0.633619,0.120668,0.054342,0.647363,0.629300,0.176467,0.210000,0.340526,1509949440
a03,s06,0.670592,0.127640,0.904415,0.313424,0.522493,0.585387,0.452322,0.443873,0.819561,0.579072,0.195682,0.088316,0.656889,0.629300,0.176296,0.230000,0.361227,1509949440
a03,s07,0.000000,0.000000,0.000000,0.000000,0.764200,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.453206,1.000000,0.000000,-0.018128,0.030000,0.000000,1509949440
a03,s08,0.930314,0.048863,0.789100,0.807370,0.385925,0.706099,0.626707,0.699411,0.916700,0.889351,0.053100,0.023831,0.687098,0.629300,0.383949,0.220000,0.543562,1509949440
a04,s00,0.388397,0.365173,0.162600,-0.180706,0.691265,0.479802,0.263651,0.097478,0.540517,0.444123,0.063000,0.026707,0.761911,0.640300,0.153664,0.070000,0.096537,1509949440
a04,s01,0.585495,0.238436,0.272800,0.241340,0.570886,0.562577,0.396905,0.323330,0.642533,0.563422,0.067250,0.028657,0.757284,0.640300,0.287861,0.110000,0.265135,1509949440
a04,s02,0.459699,0.251481,0.150000,0.105294,0.630756,0.507525,0.312162,0.216974,0.563150,0.490400,0.093000,0.039647,0.777822,0.640300,0.265359,0.090000,0.188497,1509949440
a04,s03,0.558996,0.294727,1.362172,-0.289971,0.596884,0.545256,0.379288,0.265011,0.515450,0.495500,0.144750,0.061852,0.554442,0.640300,-0.166548,0.130000,0.224093,1509949440
a04,s04,0.732469,0.126723,1.284970,0.249094,0.476820,0.623116,0.496831,0.501550,0.787224,0.673900,0.086500,0.036726,0.588499,0.640300,0.064599,0.180000,0.399534,1509949440
a04,s05,0.685899,0.154458,0.798671,0.357501,0.504710,0.601830,0.465302,0.448004,0.740508,0.638055,0.107003,0.045772,0.672704,0.640300,0.242908,0.210000,0.360512,1509949440
a04,s06,0.665311,0.095919,0.816959,0.391917,0.499340,0.586953,0.451255,0.462018,0.821801,0.586900,0.184158,0.079049,0.676437,0.640300,0.229292,0.230000,0.376182,1509949440
a04,s07,0.000000,0.000000,0.000000,0.000000,0.729000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.431338,1.000000,0.000000,-0.017254,0.030000,0.000000,1509949440
a04,s08,0.931759,0.036696,0.735100,0.851840,0.364633,0.710403,0.631162,0.711007,0.916700,0.890121,0.045000,0.019176,0.698278,0.640300,0.417010,0.220000,0.553198,1509949440
a05,s00,0.403222,0.323733,0.162600,-0.089703,0.664633,0.487523,0.274503,0.134081,0.540517,0.451083,0.063000,0.024563,0.766884,0.646300,0.191221,0.070000,0.124945,1509949440
a05,s01,0.588632,0.204796,0.268000,0.306272,0.551464,0.565437,0.400228,0.347136,0.642533,0.571150,0.067250,0.026368,0.762185,0.646300,0.316662,0.110000,0.284266,1509949440
a05,s02,0.472844,0.221741,0.150000,0.174090,0.607805,0.514563,0.322019,0.246205,0.563150,0.495200,0.093000,0.036482,0.781391,0.646300,0.293810,0.090000,0.211429,1509949440
a05,s03,0.510685,0.253287,1.220235,-0.224313,0.598664,0.527348,0.347647,0.254420,0.515450,0.481000,0.132750,0.052159,0.584963,0.646300,-0.102798,0.130000,0.217989,1509949440
a05,s04,0.710703,0.099683,1.130690,0.326594,0.470254,0.616357,0.483556,0.502866,0.787704,0.667390,0.076000,0.029611,0.619514,0.646300,0.133433,0.180000,0.401625,1509949440
a05,s05,0.670231,0.129002,0.700759,0.411997,0.495797,0.597413,0.456038,0.452936,0.738410,0.634583,0.099114,0.038978,0.693383,0.646300,0.285016,0.210000,0.365286,1509949440
a05,s06,0.652490,0.079006,0.727742,0.435549,0.491281,0.583636,0.443902,0.464035,0.821829,0.585427,0.177492,0.070126,0.694526,0.646300,0.267416,0.230000,0.378582,1509949440
a05,s07,0.000000,0.000000,0.000000,0.000000,0.709800,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.397310,1.000000,0.000000,-0.015892,0.030000,0.000000,1509949440
a05,s08,0.932559,0.029929,0.669100,0.889473,0.352981,0.712763,0.633606,0.717423,0.916700,0.890541,0.040500,0.015857,0.710970,0.646300,0.448252,0.220000,0.558521,1509949440
a06,s00,0.351736,0.464093,0.162600,-0.394867,0.756492,0.460717,0.237056,0.029588,0.540517,0.426723,0.063000,0.028585,0.750041,0.625300,0.063356,0.070000,0.038509,1509949440
a06,s01,0.578053,0.318755,0.284800,0.086248,0.618315,0.555608,0.388922,0.266357,0.642533,0.544102,0.067250,0.030662,0.745485,0.625300,0.218762,0.110000,0.219292,1509949440
a06,s02,0.427238,0.322501,0.150000,-0.060185,0.687118,0.490141,0.288023,0.146172,0.563150,0.478400,0.093000,0.042420,0.769300,0.625300,0.196842,0.090000,0.132942,1509949440
a06,s03,0.611974,0.388247,1.571408,-0.467401,0.620423,0.561627,0.412006,0.245309,0.515450,0.503000,0.171150,0.078343,0.505557,0.625300,-0.294599,0.130000,0.206008,1509949440
a06,s04,0.752223,0.187842,1.512400,0.081063,0.507210,0.625609,0.506358,0.475513,0.786024,0.672850,0.109600,0.049958,0.540227,0.625300,-0.060258,0.180000,0.377875,1509949440
a06,s05,0.699594,0.215292,0.943882,0.222589,0.537756,0.602318,0.471032,0.417830,0.742024,0.633132,0.123904,0.056801,0.639266,0.625300,0.156749,0.210000,0.335587,1509949440
a06,s06,0.673153,0.136268,0.934752,0.291015,0.529898,0.585216,0.453131,0.439581,0.819190,0.577490,0.198242,0.091056,0.650392,0.625300,0.159898,0.230000,0.357499,1509949440
a06,s07,0.000000,0.000000,0.000000,0.000000,0.777000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.461158,1.000000,0.000000,-0.018446,0.030000,0.000000,1509949440
a06,s08,0.929885,0.051513,0.807100,0.795126,0.393180,0.704667,0.625154,0.696385,0.916700,0.889071,0.054900,0.025084,0.683540,0.625300,0.374012,0.220000,0.540937,1509949440
a07,s00,0.369017,0.417253,0.162600,-0.294619,0.725806,0.469688,0.249537,0.056774,0.540517,0.434843,0.063000,0.027168,0.755662,0.632300,0.106051,0.070000,0.063462,1509949440
a07,s01,0.581699,0.280715,0.279200,0.159832,0.595964,0.558931,0.392754,0.293406,0.642533,0.553118,0.067250,0.029149,0.751058,0.632300,0.251481,0.110000,0.241041,1509949440
a07,s02,0.442559,0.288861,0.150000,0.018150,0.660614,0.498319,0.299363,0.179639,0.563150,0.484000,0.093000,0.040328,0.773337,0.632300,0.229240,0.090000,0.159196,1509949440
a07,s03,0.576863,0.343207,1.451320,-0.386823,0.613763,0.549662,0.389806,0.247337,0.515450,0.495000,0.158350,0.068878,0.532578,0.632300,-0.230080,0.130000,0.209270,1509949440
a07,s04,0.737732,0.158402,1.381870,0.163402,0.495171,0.622263,0.498384,0.484160,0.786584,0.670610,0.098400,0.042580,0.567255,0.632300,0.005262,0.180000,0.385451,1509949440
a07,s05,0.688934,0.186805,0.858363,0.285655,0.524231,0.600347,0.465492,0.428713,0.740751,0.633027,0.115355,0.050243,0.658078,0.632300,0.200426,0.210000,0.344869,1509949440
a07,s06,0.665968,0.117122,0.864281,0.339413,0.517145,0.584565,0.449887,0.447534,0.819998,0.579898,0.191393,0.083583,0.665375,0.632300,0.196115,0.230000,0.364387,1509949440
a07,s07,0.000000,0.000000,0.000000,0.000000,0.754600,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.438662,1.000000,0.000000,-0.017546,0.030000,0.000000,1509949440
a07,s08,0.930814,0.044297,0.759100,0.827385,0.379758,0.707381,0.627992,0.703440,0.916700,0.889561,0.050100,0.021743,0.693046,0.632300,0.399506,0.220000,0.546830,1509949440
