cost_weight,strategy,resolution,unsafe,probe_cost,utility,post_error,info_gain,model_elim,task_success,gate_precision,gate_recall,abort_rate,false_abstain,reversibility,signature_match,value_info,policy_cost,recovery,weight
c00,s00,0.381454,0.382785,0.162600,-0.160610,0.702792,0.476278,0.258698,0.087059,0.540517,0.441223,0.063000,0.026492,0.759798,0.637800,0.195724,0.070000,0.087050,2013265920
c00,s01,0.583422,0.252797,0.274800,0.311257,0.579409,0.561066,0.395020,0.312617,0.642533,0.560202,0.067250,0.028427,0.755200,0.637800,0.373764,0.110000,0.256574,2013265920
c00,s02,0.453457,0.264218,0.150000,0.128900,0.640749,0.504283,0.307614,0.204000,0.563150,0.488400,0.093000,0.039329,0.776294,0.637800,0.306698,0.090000,0.178353,2013265920
c00,s03,0.557093,0.312338,1.377380,0.164249,0.606143,0.543392,0.377380,0.252211,0.515450,0.491875,0.149750,0.063985,0.549591,0.637800,0.306620,0.130000,0.214117,2013265920
c00,s04,0.729608,0.138335,1.301500,0.684990,0.485010,0.620887,0.494213,0.491587,0.787024,0.670522,0.090875,0.038730,0.584130,0.637800,0.514106,0.180000,0.391809,2013265920
c00,s05,0.701266,0.150499,0.906293,0.618436,0.500805,0.606788,0.475108,0.460912,0.757797,0.648302,0.117846,0.050393,0.653807,0.637800,0.486531,0.210000,0.370253,2013265920
c00,s06,0.667222,0.100853,0.858855,0.659212,0.503713,0.586814,0.451962,0.459726,0.827026,0.587637,0.187767,0.080243,0.668304,0.637800,0.499169,0.230000,0.374240,2013265920
c00,s07,0.000000,0.000000,0.000000,0.000000,0.737000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.427923,1.000000,0.000000,-0.017117,0.030000,0.000000,2013265920
c00,s08,0.931162,0.039667,0.733600,1.108859,0.369644,0.709309,0.629971,0.708041,0.916700,0.889946,0.046875,0.020008,0.698192,0.637800,0.677039,0.220000,0.550762,2013265920
c01,s00,0.381758,0.382648,0.162600,-0.168141,0.702621,0.476406,0.258903,0.087316,0.540517,0.441223,0.063000,0.026492,0.759814,0.637800,0.187820,0.070000,0.087252,2013265920
c01,s01,0.583726,0.252661,0.274800,0.298130,0.579239,0.561194,0.395225,0.312931,0.642533,0.560202,0.067250,0.028427,0.755217,0.637800,0.360250,0.110000,0.256808,2013265920
c01,s02,0.453760,0.264081,0.150000,0.122012,0.640578,0.504411,0.307819,0.204315,0.563150,0.488400,0.093000,0.039329,0.776310,0.637800,0.299424,0.090000,0.178587,2013265920
c01,s03,0.557396,0.312202,1.377380,0.095992,0.605972,0.543520,0.377585,0.252526,0.515450,0.491875,0.149750,0.063985,0.549607,0.637800,0.237977,0.130000,0.214350,2013265920
c01,s04,0.729911,0.138199,1.301500,0.620527,0.484840,0.621014,0.494417,0.491901,0.787024,0.670522,0.090875,0.038730,0.584146,0.637800,0.449257,0.180000,0.392042,2013265920
c01,s05,0.699096,0.152541,0.892822,0.567682,0.502292,0.605958,0.473635,0.458097,0.755341,0.646427,0.116764,0.049927,0.655987,0.637800,0.439677,0.210000,0.368086,2013265920
c01,s06,0.666792,0.101126,0.853632,0.615485,0.503975,0.586644,0.451669,0.459242,0.826159,0.586975,0.187625,0.080181,0.669211,0.637800,0.456107,0.230000,0.373872,2013265920
c01,s07,0.000000,0.000000,0.000000,0.000000,0.737000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.427923,1.000000,0.000000,-0.017117,0.030000,0.000000,2013265920
c01,s08,0.931267,0.039606,0.733600,1.072415,0.369582,0.709353,0.630042,0.708158,0.916700,0.889946,0.046875,0.020008,0.698199,0.637800,0.640447,0.220000,0.550849,2013265920
c02,s00,0.382061,0.382512,0.162600,-0.175672,0.702451,0.476534,0.259108,0.087574,0.540517,0.441223,0.063000,0.026492,0.759831,0.637800,0.179916,0.070000,0.087454,2013265920
c02,s01,0.584029,0.252524,0.274800,0.285002,0.579068,0.561322,0.395430,0.313246,0.642533,0.560202,0.067250,0.028427,0.755233,0.637800,0.346736,0.110000,0.257041,2013265920
c02,s02,0.454063,0.263945,0.150000,0.115124,0.640408,0.504539,0.308024,0.204629,0.563150,0.488400,0.093000,0.039329,0.776327,0.637800,0.292150,0.090000,0.178820,2013265920
c02,s03,0.557699,0.312065,1.377380,0.027735,0.605802,0.543648,0.377789,0.252840,0.515450,0.491875,0.149750,0.063985,0.549624,0.637800,0.169334,0.130000,0.214584,2013265920
c02,s04,0.730214,0.138063,1.301500,0.556063,0.484669,0.621142,0.494622,0.492216,0.787024,0.670522,0.090875,0.038730,0.584162,0.637800,0.384407,0.180000,0.392276,2013265920
c02,s05,0.696926,0.154583,0.879351,0.518276,0.503779,0.605128,0.472162,0.455282,0.752884,0.644551,0.115683,0.049461,0.658167,0.637800,0.394169,0.210000,0.365919,2013265920
c02,s06,0.666362,0.101398,0.848408,0.572280,0.504237,0.586474,0.451376,0.458757,0.825292,0.586314,0.187483,0.080120,0.670119,0.637800,0.413567,0.230000,0.373504,2013265920
c02,s07,0.000000,0.000000,0.000000,0.000000,0.737000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.427923,1.000000,0.000000,-0.017117,0.030000,0.000000,2013265920
c02,s08,0.931371,0.039546,0.733600,1.035970,0.369519,0.709398,0.630113,0.708274,0.916700,0.889946,0.046875,0.020008,0.698207,0.637800,0.603855,0.220000,0.550936,2013265920
c03,s00,0.382364,0.382375,0.162600,-0.199462,0.702280,0.476662,0.259313,0.087832,0.540517,0.441223,0.063000,0.026492,0.759847,0.637800,0.155752,0.070000,0.087656,2013265920
c03,s01,0.584332,0.252388,0.274800,0.244394,0.578897,0.561450,0.395635,0.313561,0.642533,0.560202,0.067250,0.028427,0.755249,0.637800,0.305742,0.110000,0.257275,2013265920
c03,s02,0.454366,0.263808,0.150000,0.093237,0.640237,0.504667,0.308229,0.204944,0.563150,0.488400,0.093000,0.039329,0.776343,0.637800,0.269876,0.090000,0.179054,2013265920
c03,s03,0.558003,0.311929,1.377380,-0.178259,0.605631,0.543776,0.377994,0.253155,0.515450,0.491875,0.149750,0.063985,0.549640,0.637800,-0.037047,0.130000,0.214818,2013265920
c03,s04,0.730517,0.137927,1.301500,0.361450,0.484499,0.621270,0.494827,0.492530,0.787024,0.670522,0.090875,0.038730,0.584179,0.637800,0.189408,0.180000,0.392509,2013265920
c03,s05,0.689809,0.160983,0.838937,0.376916,0.508582,0.602384,0.467332,0.446207,0.745515,0.638925,0.112438,0.048063,0.664673,0.637800,0.265277,0.210000,0.358951,2013265920
c03,s06,0.664466,0.102489,0.832739,0.444575,0.505363,0.585707,0.450088,0.456675,0.822691,0.584328,0.187058,0.079934,0.672808,0.637800,0.288629,0.230000,0.371933,2013265920
c03,s07,0.000000,0.000000,0.000000,0.000000,0.737000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.427923,1.000000,0.000000,-0.017117,0.030000,0.000000,2013265920
c03,s08,0.931476,0.039485,0.733600,0.926165,0.369457,0.709442,0.630183,0.708391,0.916700,0.889946,0.046875,0.020008,0.698214,0.637800,0.493903,0.220000,0.551023,2013265920
c04,s00,0.382667,0.382239,0.162600,-0.239512,0.702109,0.476789,0.259518,0.088090,0.540517,0.441223,0.063000,0.026492,0.759863,0.637800,0.115329,0.070000,0.087858,2013265920
c04,s01,0.584635,0.252251,0.274800,0.176306,0.578727,0.561578,0.395840,0.313875,0.642533,0.560202,0.067250,0.028427,0.755266,0.637800,0.237268,0.110000,0.257509,2013265920
c04,s02,0.454670,0.263672,0.150000,0.056349,0.640067,0.504795,0.308433,0.205259,0.563150,0.488400,0.093000,0.039329,0.776359,0.637800,0.232602,0.090000,0.179287,2013265920
c04,s03,0.558306,0.311792,1.377380,-0.521992,0.605460,0.543904,0.378199,0.253470,0.515450,0.491875,0.149750,0.063985,0.549657,0.637800,-0.381166,0.130000,0.215051,2013265920
c04,s04,0.730821,0.137791,1.301500,0.036686,0.484329,0.621398,0.495032,0.492844,0.787024,0.670522,0.090875,0.038730,0.584195,0.637800,-0.135741,0.180000,0.392742,2013265920
c04,s05,0.677746,0.171740,0.771580,0.167850,0.516699,0.597724,0.459145,0.430871,0.733234,0.629548,0.107030,0.045732,0.675507,0.637800,0.077249,0.210000,0.347181,2013265920
c04,s06,0.661103,0.104399,0.806623,0.241771,0.507354,0.584343,0.447803,0.452995,0.818357,0.581018,0.186349,0.079625,0.677280,0.637800,0.090695,0.230000,0.369158,2013265920
c04,s07,0.000000,0.000000,0.000000,0.000000,0.737000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.427923,1.000000,0.000000,-0.017117,0.030000,0.000000,2013265920
c04,s08,0.931576,0.039427,0.733600,0.742985,0.369397,0.709484,0.630251,0.708502,0.916700,0.889946,0.046875,0.020008,0.698221,0.637800,0.310585,0.220000,0.551106,2013265920
c05,s00,0.382971,0.382102,0.162600,-0.360863,0.701939,0.476917,0.259723,0.088348,0.540517,0.441223,0.063000,0.026492,0.759880,0.637800,-0.006395,0.070000,0.088061,2013265920
c05,s01,0.584939,0.252115,0.274800,-0.029181,0.578556,0.561706,0.396045,0.314190,0.642533,0.560202,0.067250,0.028427,0.755282,0.637800,0.031394,0.110000,0.257742,2013265920
c05,s02,0.454973,0.263535,0.150000,-0.055539,0.639896,0.504923,0.308638,0.205573,0.563150,0.488400,0.093000,0.039329,0.776376,0.637800,0.120328,0.090000,0.179521,2013265920
c05,s03,0.558609,0.311656,1.377380,-1.554415,0.605290,0.544031,0.378404,0.253784,0.515450,0.491875,0.149750,0.063985,0.549673,0.637800,-1.413975,0.130000,0.215285,2013265920
c05,s04,0.731124,0.137655,1.301500,-0.938828,0.484158,0.621526,0.495237,0.493158,0.787024,0.670522,0.090875,0.038730,0.584211,0.637800,-1.111640,0.180000,0.392976,2013265920
c05,s05,0.640950,0.204285,0.569511,-0.258502,0.541394,0.583488,0.434176,0.384237,0.696388,0.601416,0.090805,0.038740,0.707974,0.637800,-0.285219,0.210000,0.311405,2013265920
c05,s06,0.650403,0.110402,0.728277,-0.289530,0.513669,0.579996,0.440537,0.441320,0.805352,0.571089,0.184223,0.078698,0.690662,0.637800,-0.425218,0.230000,0.360364,2013265920
c05,s07,0.000000,0.000000,0.000000,0.000000,0.737000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.427923,1.000000,0.000000,-0.017117,0.030000,0.000000,2013265920
c05,s08,0.931666,0.039375,0.733600,0.192978,0.369344,0.709522,0.630311,0.708603,0.916700,0.889946,0.046875,0.020008,0.698227,0.637800,-0.239544,0.220000,0.551180,2013265920
